REPORTE NAV: REGISTROS EXISTENTES		-		FECHA,2022-12-05
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,AEP,ILS,2021.04.20 AER DME ILS PARAMETROS 01.pdf,2021,EZE
2,AEP,ILS,2021.04.20 AER ILS LH01.pdf,2021,EZE
3,AEP,ILS,2021.04.20 AER ILS PARAMETROS 01.pdf,2021,EZE
4,AEP,ILS,2021.04.22 AER ILS LH02.pdf,2021,EZE
5,AEP,ILS,2021.06 AER ILS PARAMETROS 04 ANULADO.pdf,2021,EZE
6,AEP,ILS,2021.06.03 AER DME ILS PARAMETROS 02.pdf,2021,EZE
7,AEP,ILS,2021.06.03 AER ILS LH03.pdf,2021,EZE
8,AEP,ILS,2021.06.03 AER ILS PARAMETROS 02.pdf,2021,EZE
9,AEP,ILS,2021.06.21 AER DME ILS PARAMETROS 03.tif,2021,EZE
10,AEP,ILS,2021.06.21 AER ILS LH04.tif,2021,EZE
11,AEP,ILS,2021.06.21 AER ILS PARAMETROS 03.pdf,2021,EZE
12,AEP,ILS,2021.08.04 AER DME ILS PARAMETROS 04.pdf,2021,EZE
13,AEP,ILS,2021.08.04 AER ILS LH05.tif,2021,EZE
14,AEP,ILS,2021.08.04 AER ILS PARAMETROS 05.pdf,2021,EZE
15,AEP,ILS,2021.08.25 AER DME ILS PARAMETROS 05.tif,2021,EZE
16,AEP,ILS,2021.08.25 AER ILS LH06.pdf,2021,EZE
17,AEP,ILS,2021.08.25 AER ILS PARAMETROS 06.pdf,2021,EZE
18,AEP,ILS,2021.09.30 AER DME ILS PARAMETROS 06.tif,2021,EZE
19,AEP,ILS,2021.09.30 AER ILS PARAMETROS 07.tif,2021,EZE
20,AEP,ILS,2021.10 AER ILS PARAMETROS 08.tif,2021,EZE
21,AEP,ILS,2021.10.28 AER DME ILS PARAMETROS 07.tif,2021,EZE
22,AEP,ILS,2021.10.28 AER ILS LH08.tif,2021,EZE
23,AEP,ILS,2021.11.05 AER DME ILS PARAMETROS 09.tif,2021,EZE
24,AEP,ILS,2021.11.05 AER ILS LH09.tif,2021,EZE
25,AEP,ILS,2021.11.05 AER ILS PARAMETROS 10.tif,2021,EZE
26,AEP,ILS,2021.11.17 AER ILS LH10.tif,2021,EZE
27,AEP,ILS,2021.11.21 AER ILS LH11.tif,2021,EZE
28,BAR,ILS,2021.01.22 BAR ILS LH23.pdf,2021,EZE
29,BAR,ILS,2021.01.22 BAR ILS P41.pdf,2021,EZE
30,BAR,ILS,2021.02.09 BAR ILS LH24.pdf,2021,EZE
31,BAR,ILS,2021.02.09 BAR ILS P42.pdf,2021,EZE
32,BAR,ILS,2021.03.16 BAR ILS LH25.pdf,2021,EZE
33,BAR,ILS,2021.03.16 BAR ILS P43.pdf,2021,EZE
34,BAR,ILS,2021.04.14 BAR ILS LH26.pdf,2021,EZE
35,BAR,ILS,2021.04.14 BAR ILS P44.pdf,2021,EZE
36,BAR,ILS,2021.05.25 BAR ILS LH27.jpg,2021,EZE
37,BAR,ILS,2021.05.25 BAR ILS P45.jpg,2021,EZE
38,BAR,ILS,2021.06.29 BAR ILS LH28.pdf,2021,EZE
39,BAR,ILS,2021.06.29 BAR ILS P46 ANULADO.pdf,2021,EZE
40,BAR,ILS,2021.06.29 BAR ILS P47.pdf,2021,EZE
41,BAR,ILS,2021.07.29 BAR DME ILS PARAMETROS 01.pdf,2021,EZE
42,BAR,ILS,2021.07.29 BAR ILS LH01.pdf,2021,EZE
43,BAR,ILS,2021.07.29 BAR ILS PARAMETROS 01.pdf,2021,EZE
44,BAR,ILS,2021.08.07 BAR DME ILS PARAMETROS 02.pdf,2021,EZE
45,BAR,ILS,2021.08.07 BAR ILS LH02.pdf,2021,EZE
46,BAR,ILS,2021.08.07 BAR ILS PARAMETROS 02.pdf,2021,EZE
47,BAR,ILS,2021.08.17 BAR ILS LH03.jpg,2021,EZE
48,BAR,ILS,2021.09.07 BAR DME ILS PARAMETROS 03.pdf,2021,EZE
49,BAR,ILS,2021.09.07 BAR ILS LH04.pdf,2021,EZE
50,BAR,ILS,2021.09.07 BAR ILS PARAMETROS 03.pdf,2021,EZE
51,BAR,ILS,2021.10.14 BAR DME ILS PARAMETROS 04.pdf,2021,EZE
52,BAR,ILS,2021.10.14 BAR ILS LH05.pdf,2021,EZE
53,BAR,ILS,2021.10.14 BAR ILS PARAMETROS 04.pdf,2021,EZE
54,BAR,ILS,2021.11.15 BAR DME ILS PARAMETROS 05.pdf,2021,EZE
55,BAR,ILS,2021.11.15 BAR ILS LH06.pdf,2021,EZE
56,BAR,ILS,2021.11.15 BAR ILS PARAMETROS 05.pdf,2021,EZE
57,BAR,ILS,2021.12.20 BAR DME ILS PARAMETROS 06.pdf,2021,EZE
